year,quarter,period,state,count,amount_inr,avg_ticket_inr
2020,3,2020Q3,madhya pradesh,105895534,198051918982.3343,1870.2575217415144
2020,3,2020Q3,maharashtra,259184002,417445438172.2079,1610.614215966184
2020,3,2020Q3,manipur,1043328,2794156258.2445955,2678.118729914845
2020,3,2020Q3,meghalaya,692059,1513957555.3695621,2187.6134193321122
2020,3,2020Q3,mizoram,282613,817121389.324712,2891.3085715261223
2020,3,2020Q3,nagaland,767214,2071980086.1068025,2700.6546884008926
2020,3,2020Q3,odisha,69038595,127503888471.30423,1846.8494104102817
2020,3,2020Q3,puducherry,1545591,2884349251.874382,1866.1788609498774
2020,3,2020Q3,punjab,17887958,41042955723.14191,2294.4461141479596
2020,3,2020Q3,rajasthan,143008603,280234259657.3222,1959.5622485545307
2020,3,2020Q3,sikkim,639577,1543361489.5177724,2413.0972338245
2020,3,2020Q3,tamil nadu,70529798,138538123385.73276,1964.2495415304147
2020,3,2020Q3,telangana,207472326,428781682179.9675,2066.693377602406
2020,3,2020Q3,tripura,1676998,3165287940.7535105,1887.4726986874823
2020,3,2020Q3,uttar pradesh,141565257,273741446015.2779,1933.676749622811
2020,3,2020Q3,uttarakhand,12900421,23631778724.122528,1831.8610473350077
2020,3,2020Q3,west bengal,78767654,147424950291.97803,1871.6432800192072
2020,4,2020Q4,andaman & nicobar islands,272005,732159322.5032427,2691.712735071939
2020,4,2020Q4,andhra pradesh,326093276,760638671029.0725,2332.5800530430824
2020,4,2020Q4,arunachal pradesh,1393785,4195981781.202884,3010.494288002012
2020,4,2020Q4,assam,14784484,36013810212.345345,2435.9193200347977
2020,4,2020Q4,bihar,97696608,239429081339.50946,2450.7409851886514
2020,4,2020Q4,chandigarh,2610842,4860838678.860598,1861.7896750782306
2020,4,2020Q4,chhattisgarh,39804658,71088111288.6268,1785.924433482805
2020,4,2020Q4,dadra & nagar haveli & daman & diu,2074476,3117756826.203451,1502.9129410045964
2020,4,2020Q4,delhi,101260942,177739597368.565,1755.263123747802
2020,4,2020Q4,goa,4146283,7565195670.719751,1824.572917651726
2020,4,2020Q4,gujarat,77350802,145043226247.8315,1875.1353896476926
2020,4,2020Q4,haryana,91338622,176138927815.97955,1928.416741561741
2020,4,2020Q4,himachal pradesh,7648490,14312857828.542429,1871.331181519807
2020,4,2020Q4,jammu & kashmir,5697218,13861828201.924194,2433.0872018455666
2020,4,2020Q4,jharkhand,43790272,80715425964.23326,1843.2273260196525
2020,4,2020Q4,karnataka,428937584,656829679389.3723,1531.2943045563766
2020,4,2020Q4,kerala,34407413,57569923779.03198,1673.1837345351125
